epoch,train_loss,test_acc@1
1,3.9895571310495592,64.25999999999999
2,3.9395814335223327,66.66
3,3.8910485002183424,65.92
4,3.8470259056877842,67.0
5,3.7920890272278145,66.86
6,3.7350851604618978,67.67999999999999
7,3.706519544739084,68.57
8,3.665216878517387,68.28999999999999
9,3.6363184722428468,69.5
10,3.592693874516438,69.69999999999999
